鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
大安區,房地(土地+建物),臺北市大安區金山南路二段121~150號,11.4,住,,,1081020,土地1建物1車位0,十一層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740225,105.80000000000001,3,2,2,有,有,29000000,274102,,0.0,0,含增建或未登記建物。,RPQOMLRKKIOFFFA48DA
大安區,房地(土地+建物)+車位,臺北市大安區復興南路一段107巷5弄1~30號,29.75,商,,,1081112,土地2建物1車位2,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1051014,282.74,3,2,3,有,有,91000000,375787,坡道平面,61.87,8000000,,RPPOMLRLKIOFFFA48DA
士林區,房地(土地+建物)+車位,臺北市士林區忠誠路一段31~60號,31.97,住,,,1081026,土地1建物1車位1,七層，電梯樓梯間,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850228,238.31,3,2,2,有,有,58000000,243380,升降平面,0.0,2500000,含增建或未登記建物。;,RPUOMLTKKIOFFEA98DA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段91~120號,34.75,商,,,1080902,土地2建物1車位2,十四層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030827,379.95,4,2,3,有,有,83000000,218450,坡道平面,0.0,5000000,含增建或未登記建物。土地交易總價 66400000元.建物交易總價16600000元,RPQPMLNLKIOFFCA97DA
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路271~300號,49.87,其他,,,1081105,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021227,299.99,3,2,3,有,有,60000000,212424,坡道平面,32.13,3100000,,RPRNMLNKKIOFFCA77DA
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路271~300號,51.53,其他,,,1081015,土地1建物1車位2,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021227,332.12,3,2,3,有,有,60000000,203464,坡道平面,64.26,5500000,,RPXNMLNKKIOFFCA38DA
大同區,房地(土地+建物)+車位,臺北市大同區民權西路211~240號,8.49,其他,,,1081126,土地3建物1車位1,十三層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080625,109.59,2,2,1,有,有,19680000,198843,坡道機械,19.67,1800000,,RPPNMLPKKIOFFBA67DA
北投區,房地(土地+建物)+車位,臺北市北投區自強街121~150號,25.13,商,,,1081108,土地2建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980817,207.86,4,2,2,有,有,40310000,193919,坡道平面,0.0,0,含增建或未登記建物。;,RPQQMLMKKIOFFEA97CA
松山區,房地(土地+建物),臺北市松山區三民路35巷1~30號,46.95,住,,,1081020,土地1建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930917,224.76,3,2,2,有,有,38800000,172629,,0.0,0,含增建或未登記建物。;,RPRNMLNKKIOFFDA77CA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段151~180號,17.01,其他,,,1080927,土地1建物1車位1,十四層,29,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1070223,239.03,0,0,0,無,有,55880000,255466,坡道平面,29.1,2250000,1.毛胚屋。2.登記權利人為二人,RPSNMLNJJHPFFCA57CA
